Wavelength (nm),Spectral Power Distribution
380,0.49995261
390,0.546664907
400,0.827781331
410,0.915106417
420,0.934552126
430,0.86702216
440,1.04884903
450,1.170272431
460,1.17830073
470,1.148762397
480,1.159363321
490,1.088217356
500,1.093634049
510,1.078089724
520,1.047946135
530,1.07692946
540,1.044078324
550,1.040472709
560,1
570,0.963333094
580,0.957860385
590,0.886832969
600,0.900024432
610,0.895944091
620,0.876931391
630,0.832824768
640,0.836919933
650,0.800195711
660,0.802064046
670,0.822682886
680,0.782748151
690,0.697131687
700,0.716000022
710,0.743403491
720,0.615968882
730,0.698778301
